source,target,weight
0,20475,966.8808830781986
0,20478,643.5850237349429
0,20479,642.3377007517598
0,20510,757.7575737405925
0,20561,525.4455165331731
0,20562,797.7002334564479
0,20563,815.8883744535652
0,20564,670.0717679978659
0,20565,542.5010925616598
0,20566,804.5501535059013
0,20567,733.0049120129622
0,20568,638.1388527694742
0,20569,554.916168238481
0,20570,530.9290475750348
0,20571,682.5741635289814
0,20572,784.9335928382596
0,20594,785.4828131485882
0,20595,354.6756074326681
0,20596,269.72765420290096
0,20597,391.3105387609657
0,20598,473.7413245306425
0,20602,462.9613176435773
0,20603,467.2612582038123
0,20794,937.484788996302
0,20795,938.9718407258596
0,20796,943.2700466904068
0,20797,949.8406252714468
0,20798,956.7351248881116
0,20799,968.8293260695016
0,20975,834.6537591605035
0,21023,816.4588488400024
0,21024,799.6302784150911
0,21025,828.6724066604438
0,21052,960.1760841374152
0,21356,435.800109652135
0,21357,655.9611688611336
0,21358,451.1676514842664
0,21359,341.6492903456584
0,21410,965.4800671678948
0,21559,736.4394358597461
0,21561,658.812555558097
0,21563,966.8727091532094
0,21566,782.9344304010148
0,21568,681.8509449382077
0,21570,988.23109213986
0,21573,856.6854657985372
0,21576,709.0527217183701
0,21579,918.970819483124
0,21657,535.6794696010933
0,21701,481.1411246061709
0,21753,879.3651703075735
0,21758,866.1601536949909
0,21800,910.9958971600232
0,21812,452.4124469951011
0,21813,470.255202468928
0,21814,304.9275359089808
0,21898,177.6418115723472
0,21899,635.262256635268
0,21900,642.7259839915207
0,21901,642.4998839198547
0,21903,700.1770432728163
0,21904,670.4921191185164
0,21905,740.4000173171311
0,21906,718.6292442932847
0,21907,704.857396211737
0,21908,662.5612593983864
0,21909,684.1053298059712
0,21910,669.0286921266645
0,21913,669.9247076837644
0,21914,682.1854204114624
0,21915,683.3718599853421
0,21916,679.9072513874908
0,21917,670.6534444572942
0,21925,900.7931023982396
0,21954,902.9594347733032
0,22080,121.49550875951824
0,22252,330.4838428856986
0,22253,448.83360839004297
0,22254,643.5573590501425
0,22255,483.24549301989833
0,22256,564.8446711668057
0,22257,387.5069244071776
0,22258,570.6505731511668
0,22259,677.7148906589155
0,22260,680.983461896603
0,22338,975.5244544958556
0,22434,93.02924498538069
0,22441,677.7417510665713
0,22443,786.5377923339868
0,22446,670.764956498534
0,22827,990.0102617471498
0,23071,167.25698186329453
0,23072,172.60648503921
0,23073,193.16517839692492
0,23134,524.7508609740779
0,23269,930.0856249895022
0,23270,927.4880986549156
0,23271,931.3480325531106
0,23461,326.8366796726221
0,23462,349.7995291677245
0,23463,380.8814028700304
0,23464,411.2315049401581
0,23465,471.68546518458913
0,23466,434.5543741741112
0,23467,852.3764421651748
0,23468,847.8345796947114
0,23469,835.1789061552206
0,23481,138.96182973845168
0,23733,882.6421688123235
0,23921,766.137822703208
0,23925,719.4557277749611
0,23957,172.69676699791293
0,23960,687.5306719234645
0,23961,665.6377127716399
0,23962,665.1069134541793
0,23963,675.4858126354742
0,23964,861.3557682938022
0,23965,882.8583880648674
0,23966,911.2517096924352
0,23967,845.4593357449733
0,23975,918.047959539986
0,24103,485.8957355016684
0,24122,883.7400496280482
0,24178,863.6820823652068
0,24476,504.8323475001157
0,24477,508.373990112195
0,24478,515.9751707283865
0,24479,512.403418852129
0,24500,872.6416976201438
0,24526,446.6650980294036
0,24527,168.13266673223455
0,24528,446.1647356327341
0,24529,448.5249936938576
0,24530,503.6972428763887
0,24531,582.561473669688
0,24532,567.5939618750741
0,24533,620.7998747888068
0,24534,575.2674442847987
0,24535,606.0432063791868
0,24536,550.9869293268384
0,24537,614.26109048938
0,24538,612.4018019809531
0,24539,502.530969403155
0,24540,608.7888023806229
0,24541,500.8086385291286
0,24542,497.8193224430967
0,24543,604.6752857221368
0,24548,638.0041227660596
0,24565,552.2720886213663
0,24566,148.6199839493213
0,24649,478.4910568453364
0,24653,808.6842137120261
0,24654,720.5747383915266
0,24655,500.3658157796477
0,24814,996.205517720598
0,24895,226.4342686970604
0,24896,228.68014883144363
0,24897,262.81292167268435
0,25464,829.4511587765453
0,25662,600.0596762995998
0,25663,599.3102723096147
0,25664,589.5713682496851
0,25665,504.3455539480086
0,25666,489.0841586814392
0,25667,503.0895523012321
0,25668,538.9552585642268
0,25669,583.3132374016851
0,25670,541.0815085985827
0,25739,938.0775098432212
0,25751,586.6548261879993
0,25836,588.8316512946865
0,25837,795.7328628209988
0,25838,798.839018687956
0,26447,414.2107974220064
0,26448,411.50233557580674
0,26714,63.81283639533428
0,26715,65.71227740617687
0,26716,68.03643823360453
0,26717,89.78732416833064
0,26718,91.27028005214618
0,26719,92.7256932112898
0,26720,157.88790804604406
0,26721,160.5320926924641
0,26916,913.2592019649578
0,26972,897.1697283616598
0,27419,965.0819978562512
0,27420,952.7626175842796
0,27421,953.2424125042191
0,27498,823.2018998148313
0,27698,845.2335894142471
0,27792,953.2741150404136
0,27796,724.0211910091368
0,27797,666.7871841938936
0,28028,225.4934126645203
0,28029,199.7325412422662
0,28030,208.08975870346907
0,28031,217.27184586322247
0,28032,394.7973334039859
0,28109,629.2197966279309
0,28811,196.86066365979352
0,28812,193.89641891606132
0,28813,160.84229140067615
0,29156,914.6736714354188
0,29158,906.5297852872028
0,29159,852.2108773980824
0,29166,713.981644656146
0,29631,826.2613634491604
0,29889,116.45907003505802
0,29890,148.20990723463404
0,29894,34.78636981080655
0,29895,164.79688942732807
0,29898,37.83056223092936
0,29899,179.62520126393537
0,29902,45.57566255887001
0,29905,57.03129440986329
0,29908,69.25591965844035
0,29911,85.59069537263404
0,29915,99.74727352380214
0,29918,120.1319155698502
0,29919,115.32059593442057
0,29922,118.27641052360391
0,29923,131.660838219324
0,30673,899.2102950054483
0,30888,438.26516070967966
0,30966,305.0086482884043
0,30967,318.64083891398195
0,30972,555.7437867433537
0,30974,934.4835454453232
0,30976,632.1511835798824
0,30977,792.8101206170395
0,30978,245.42378435567096
0,30979,98.51668349728769
0,30980,477.67598831387926
0,30981,540.9718945999975
0,30982,229.061791822576
0,30983,399.8146568298259
0,30984,776.415395932139
0,30985,619.9286740018666
0,30986,462.4353002502777
0,30987,949.0417000899148
0,31043,928.0098498157934
0,31217,901.23232239664
0,31235,608.8231733981166
0,31697,230.9342951044308
0,31698,302.52063310134656
0,31945,366.1352149963124
0,31946,362.11306739253865
0,31947,359.86049765688034
0,31948,364.0314159925225
0,31949,356.26100575662247
0,31950,357.9814695132612
0,31968,165.39891523841484
0,31969,161.76094121952306
0,31970,168.52217094548823
0,31971,170.347552931304
0,31972,839.5273024085833
0,31973,867.9656061076996
0,31978,704.1115798725165
0,32186,887.6535450197752
0,32359,914.1546807394068
0,32380,663.9852971961417
0,32632,957.844062453212
0,32633,671.501945697526
0,32634,680.1914337676099
0,32788,717.349255284102
0,32791,714.9701145152239
0,33090,726.8490992184892
0,33431,623.0510110076142
0,33433,606.2563739445536
0,33435,634.8419466612805
0,33436,601.3067219485098
0,33438,628.8284601755489
0,33666,837.5047119802415
